id,lang_tgt,severity,mqm_score,num_template_qs,num_srl_qs,num_diff_qs,num_atomic_qs,num_questions,num_mismatches,askqe_score
doc54_row1326_row0,de,Major,95,0,1,2,6,9,2,0.875
doc44_row700_row1,de,Major,90,0,1,0,3,4,0,1.0
doc4_row39_row2,de,Minor,99,13,3,2,2,20,3,0.8795180722891566
doc4_row33_row3,de,No Error,100,0,1,2,4,7,3,0.6666666666666666
doc11_row501_row4,de,Minor,99,11,2,3,9,25,5,0.84
doc11_row1255_row5,de,Major,95,1,1,4,5,11,3,0.8285714285714286
doc54_row1104_row6,de,Major,55,0,1,1,7,9,1,0.9411764705882353
doc56_row955_row7,de,Major,50,0,2,4,6,12,7,0.5121951219512195
doc35_row1267_row8,de,Major,75,10,2,1,9,22,2,0.9438202247191011
doc11_row1137_row9,de,No Error,100,2,2,0,2,6,0,1.0
doc54_row581_row10,de,Minor,96,6,2,0,7,15,1,0.9402985074626866
doc11_row1248_row11,de,Major,95,4,1,0,2,7,0,1.0
doc44_row702_row12,de,No Error,100,0,3,0,6,9,2,0.7837837837837838
doc11_row1043_row13,de,Major,95,0,1,1,4,6,2,0.7272727272727273
doc35_row1155_row14,de,Major,95,3,1,2,2,8,4,0.5925925925925926
doc56_row960_row15,de,Major,85,2,3,0,4,9,1,0.9024390243902439
doc54_row796_row16,de,No Error,100,1,1,4,6,12,3,0.8461538461538461
doc44_row699_row17,de,Major,95,1,1,2,2,6,4,0.3684210526315789
doc56_row1057_row18,de,Major,30,15,1,4,12,32,4,0.9008264462809917
doc44_row1024_row19,de,Major,64,2,1,4,8,15,5,0.78
doc44_row1112_row20,de,Major,54,2,3,4,5,14,6,0.6595744680851063
doc56_row1257_row21,de,Major,89,0,4,0,4,8,0,1.0
doc81_row1488_row22,de,No Error,100,5,1,1,2,9,1,0.9534883720930233
doc81_row78_row23,de,No Error,100,2,1,2,5,10,2,0.8235294117647058
doc35_row1373_row24,de,Major,95,3,1,3,2,9,3,0.7931034482758621
doc11_row505_row25,de,No Error,100,2,2,1,2,7,2,0.72
doc44_row1224_row26,de,Minor,98,4,3,0,4,11,0,1.0
doc56_row620_row27,de,Major,89,3,1,0,7,11,0,1.0
doc54_row685_row28,de,Major,89,1,1,4,6,12,3,0.8461538461538461
doc4_row708_row29,de,No Error,100,3,1,4,2,10,4,0.7575757575757576
doc54_row1009_row30,de,Major,95,1,1,4,6,12,3,0.8461538461538461
doc11_row1465_row31,de,No Error,100,2,2,0,2,6,0,1.0
doc4_row1454_row32,de,No Error,100,0,1,2,4,7,3,0.6666666666666666
doc11_row834_row33,de,No Error,100,4,1,0,2,7,0,1.0
doc81_row750_row34,de,No Error,100,2,1,2,5,10,2,0.8235294117647058
doc54_row1222_row35,de,Minor,98,0,1,2,6,9,2,0.875
doc44_row592_row36,de,Major,87,1,4,4,7,16,4,0.8490566037735849
doc11_row15_row37,de,Major,95,2,2,0,6,10,0,1.0
doc44_row1020_row38,de,Major,74,4,3,0,4,11,0,1.0
doc11_row1048_row39,de,Major,95,0,1,4,5,10,4,0.6875
doc54_row909_row40,de,Minor,98,2,2,2,2,8,3,0.6666666666666666
doc54_row804_row41,de,No Error,100,0,1,1,7,9,1,0.9411764705882353
doc81_row743_row42,de,Minor,99,2,2,0,2,6,1,0.8260869565217391
doc44_row92_row43,de,Major,75,0,3,2,6,11,3,0.7560975609756098
doc11_row1460_row44,de,Major,95,0,1,0,3,4,0,1.0
doc35_row630_row45,de,No Error,100,10,2,2,9,23,2,0.9560439560439561
doc54_row1545_row46,de,Minor,97,0,1,2,6,9,2,0.875
doc54_row5_row47,de,Major,94,8,2,3,5,18,5,0.7887323943661971
doc54_row797_row48,de,Minor,98,2,2,2,2,8,3,0.6666666666666666
doc81_row1166_row49,de,No Error,100,2,4,3,4,13,7,0.5434782608695652
doc44_row1437_row50,de,Major,93,2,1,4,8,15,3,0.88
doc44_row64_row51,de,Minor,99,2,3,4,9,18,7,0.7142857142857143
doc81_row1067_row52,de,Major,50,19,1,0,4,24,2,0.9157894736842105
doc56_row729_row53,de,Major,93,0,2,2,6,10,3,0.7837837837837838
doc81_row1486_row54,de,No Error,100,1,1,4,5,11,4,0.7714285714285715
doc4_row58_row55,de,Minor,99,5,1,0,7,13,0,1.0
doc11_row1467_row56,de,No Error,100,11,2,3,9,25,5,0.84
doc4_row13_row57,de,Major,94,11,1,4,6,22,5,0.8279569892473119
doc81_row1275_row58,de,Critical,75,2,1,2,5,10,2,0.8235294117647058
doc54_row24_row59,de,Minor,98,7,2,4,2,15,4,0.84
doc56_row1154_row60,de,No Error,100,2,3,1,2,8,2,0.7666666666666667
doc81_row963_row61,de,Major,90,1,1,0,2,4,0,1.0
doc56_row1055_row62,de,Major,55,0,2,0,6,8,0,1.0
doc56_row628_row63,de,No Error,100,0,1,1,7,9,1,0.9411764705882353
doc81_row1383_row64,de,No Error,100,2,4,3,4,13,7,0.5434782608695652
doc81_row635_row65,de,Major,80,19,1,1,4,25,8,0.7319587628865979
doc4_row1562_row66,de,Minor,99,11,1,3,6,21,2,0.9340659340659341
doc56_row623_row67,de,Major,95,3,1,0,7,11,0,1.0
doc11_row617_row68,de,No Error,100,2,2,0,6,10,0,1.0
doc11_row724_row69,de,No Error,100,2,1,2,5,10,4,0.6764705882352942
doc11_row86_row70,de,Minor,99,2,2,0,6,10,0,1.0
doc81_row16_row71,de,No Error,100,1,1,3,5,10,3,0.8181818181818182
doc56_row839_row72,de,Minor,99,0,2,2,6,10,3,0.7837837837837838
doc56_row847_row73,de,No Error,100,9,2,0,3,14,0,1.0
doc4_row1458_row74,de,No Error,100,2,1,0,3,6,0,1.0
doc11_row1133_row75,de,Major,95,1,1,4,5,11,3,0.8285714285714286
doc11_row829_row76,de,Major,95,1,1,3,5,10,2,0.8787878787878788
doc4_row1337_row77,de,Minor,99,3,4,0,5,12,0,1.0
doc11_row1132_row78,de,Minor,99,0,1,2,2,5,2,0.75
doc54_row798_row79,de,Minor,99,6,1,1,4,12,2,0.88
doc44_row1022_row80,de,Major,75,2,1,4,7,14,6,0.673469387755102
doc56_row1371_row81,de,No Error,100,0,1,1,7,9,1,0.9411764705882353
doc4_row935_row82,de,No Error,100,3,1,0,2,6,0,1.0
doc54_row28_row83,de,Minor,99,2,2,1,3,8,2,0.8
doc4_row1123_row84,de,Minor,99,5,1,0,7,13,0,1.0
doc4_row1242_row85,de,No Error,100,0,1,2,4,7,3,0.6666666666666666
doc4_row1451_row86,de,No Error,100,13,3,4,2,22,11,0.5862068965517241
doc56_row1364_row87,de,Minor,99,2,3,0,4,9,0,1.0
doc4_row607_row88,de,No Error,100,1,0,0,0,1,0,1.0
doc81_row859_row89,de,No Error,100,2,1,2,5,10,2,0.8235294117647058
doc4_row595_row90,de,Major,95,3,1,4,2,10,4,0.7575757575757576
doc56_row738_row91,de,No Error,100,4,1,0,1,6,0,1.0
doc4_row937_row92,de,No Error,100,4,1,3,9,17,3,0.9032258064516129
doc56_row1361_row93,de,No Error,100,9,2,3,3,17,7,0.6363636363636364
doc35_row1156_row94,de,Minor,99,3,1,3,2,9,3,0.7931034482758621
doc81_row2_row95,de,No Error,100,2,4,4,4,14,6,0.6458333333333334
